rank,Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +,ratio_200_plus,ratio_50_plus,failed_criteria
1,9kgWz1zwCHtnhtQH2hxaccvSi5amKvfwFDHk7XK9cd1u,58.36%,"$20,930.69","$88,105.61",58.33%,?,['photon'],763.46,https://gmgn.ai/sol/address/9kgWz1zwCHtnhtQH2hxaccvSi5amKvfwFDHk7XK9cd1u,8,0.0,0.0,13.0,20.0,8.0,2.0,7.0,2.125,4.625,[]
2,D37KwuoeLJJqVkD9EPaLD4zfwAZdp7WnH6BoJ5BPJ8rb,72.05%,"$7,633.11","$193,769.37",100.00%,?,['trojan'],4087.93,https://gmgn.ai/sol/address/D37KwuoeLJJqVkD9EPaLD4zfwAZdp7WnH6BoJ5BPJ8rb,6,14.0,6.0,3.0,4.0,1.0,0.0,9.0,1.6666666666666667,2.3333333333333335,[]
3,EFZ4YMCQQT7dXv5Cq7Qxa9eTGqscsg1CKEzcqhrV8gsN,31.45%,"$3,446.21","$24,415.74",80.00%,?,['photon'],50.04,https://gmgn.ai/sol/address/EFZ4YMCQQT7dXv5Cq7Qxa9eTGqscsg1CKEzcqhrV8gsN,9,1.0,4.0,20.0,11.0,7.0,2.0,2.0,1.2222222222222223,2.4444444444444446,[]
4,5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY,219.80%,"$26,365.36","$347,242.45",44.00%,?,[],326.35,https://gmgn.ai/sol/address/5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY,28,0.0,0.0,2.0,14.0,11.0,4.0,19.0,1.2142857142857142,1.7142857142857142,[]
5,HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,186.81%,"$22,417.08","$129,311.62",56.67%,?,['photon'],782.4,https://gmgn.ai/sol/address/HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,18,0.0,0.0,5.0,26.0,12.0,1.0,6.0,1.0555555555555556,2.5,[]
6,CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,137.81%,"$218,295.04","$942,553.38",100.00%,?,['trojan'],3319.53,https://gmgn.ai/sol/address/CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,12,17.0,2.0,4.0,6.0,6.0,0.0,6.0,1.0,1.5,[]
7,FpM9FRxx6C4xGreq6B2dp3KH2c8YCSbJRVJomjDC5DL6,65.34%,"$20,148.15","$88,226.94",77.78%,?,['trojan'],69.54,https://gmgn.ai/sol/address/FpM9FRxx6C4xGreq6B2dp3KH2c8YCSbJRVJomjDC5DL6,12,0.0,0.0,30.0,11.0,7.0,1.0,1.0,0.75,1.6666666666666667,[]
8,EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe,17.76%,"$41,811.20","$463,561.68",33.33%,?,['kol'],123.77,https://gmgn.ai/sol/address/EnQLCLB7NWojruXXNopgH7jhkwoHihTpuzsrtsM2UCSe,18,0.0,0.0,15.0,22.0,9.0,0.0,4.0,0.7222222222222222,1.9444444444444444,[]
9,HKTtUgFbXJu7CnHZWCQZvYsUMbdvhyvttwW6wCc161xx,60.81%,"$14,587.87","$262,449.20",67.09%,?,['photon'],121.84,https://gmgn.ai/sol/address/HKTtUgFbXJu7CnHZWCQZvYsUMbdvhyvttwW6wCc161xx,38,0.0,0.0,3.0,22.0,16.0,1.0,8.0,0.6578947368421053,1.236842105263158,[]
10,4NsvGgEEHmcbU1DA1CdsmvD2iXEaWZLN8nmmR4N6gjkG,60.43%,"$8,615.95","$39,308.94",90.00%,?,[],42.47,https://gmgn.ai/sol/address/4NsvGgEEHmcbU1DA1CdsmvD2iXEaWZLN8nmmR4N6gjkG,46,3.0,2.0,4.0,11.0,9.0,2.0,19.0,0.6521739130434783,0.8913043478260869,[]
11,72e6QM7gn9MH5u1YpgQbduexm4WAon1cnsSXPqKnLQec,53.67%,"$3,386.51","$206,449.33",47.83%,?,"['pump_smart', 'photon']",104.94,https://gmgn.ai/sol/address/72e6QM7gn9MH5u1YpgQbduexm4WAon1cnsSXPqKnLQec,29,0.0,0.0,9.0,23.0,13.0,0.0,5.0,0.6206896551724138,1.4137931034482758,[]
12,9UWZFoiCHeYRLmzmDJhdMrP7wgrTw7DMSpPiT2eHgJHe,52.06%,"$89,118.24","$720,195.80",66.67%,?,"['bullx', 'trojan', 'gmgn']",1740.59,https://gmgn.ai/sol/address/9UWZFoiCHeYRLmzmDJhdMrP7wgrTw7DMSpPiT2eHgJHe,31,0.0,0.0,14.0,17.0,10.0,1.0,8.0,0.6129032258064516,1.1612903225806452,[]
13,DeCgQaBCSpHUoX7ng3MGYiPxdcfgU5HyB38cabVwF57o,41.78%,"$7,020.93","$170,641.16",38.10%,?,['bullx'],218.71,https://gmgn.ai/sol/address/DeCgQaBCSpHUoX7ng3MGYiPxdcfgU5HyB38cabVwF57o,83,0.0,0.0,0.0,1.0,20.0,4.0,25.0,0.5903614457831325,0.6024096385542169,[]
14,DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,71.12%,"$252,989.14","$915,750.33",94.59%,?,"['trojan', 'bluechip_owner']",1893.91,https://gmgn.ai/sol/address/DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,46,0.0,0.0,13.0,10.0,12.0,3.0,12.0,0.5869565217391305,0.8043478260869565,[]
15,H7838f5FmHCtXFgtk5jDkcweEGWkvnuQJUeciGqfTt51,60.84%,"$69,184.16","$407,242.87",81.25%,?,[],63.39,https://gmgn.ai/sol/address/H7838f5FmHCtXFgtk5jDkcweEGWkvnuQJUeciGqfTt51,23,0.0,0.0,19.0,18.0,7.0,1.0,5.0,0.5652173913043478,1.3478260869565217,[]
16,E3ERHfizY8NMj94zV8Y1Qcfsur2vt3L8U3aEA5BFe2cd,161.13%,$519.14,"$1,365.58",96.15%,?,[],0.89,https://gmgn.ai/sol/address/E3ERHfizY8NMj94zV8Y1Qcfsur2vt3L8U3aEA5BFe2cd,91,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.5494505494505495,0.5494505494505495,[]
17,3g9nawbqSg5SvHEZctYoRPwnKY1TFTUpykXEsaJi9QE6,24.32%,"$11,901.87","$59,002.49",43.75%,?,['photon'],140.67,https://gmgn.ai/sol/address/3g9nawbqSg5SvHEZctYoRPwnKY1TFTUpykXEsaJi9QE6,31,0.0,0.0,0.0,34.0,11.0,3.0,2.0,0.5161290322580645,1.6129032258064515,[]
18,6T8Yr9DUUS2R8GHevaeaZcoxA1Jku51ZBkmcM7NaZiNE,33.27%,"$47,965.10","$245,636.68",51.35%,?,['photon'],600.45,https://gmgn.ai/sol/address/6T8Yr9DUUS2R8GHevaeaZcoxA1Jku51ZBkmcM7NaZiNE,49,0.0,0.0,4.0,20.0,21.0,2.0,2.0,0.5102040816326531,0.9183673469387755,[]
19,EwtV3vMC94rtQvH8bck5tVKHqKoYqybfo37FwMoboem6,143.44%,"$66,066.78","$174,489.86",85.71%,?,['photon'],697.45,https://gmgn.ai/sol/address/EwtV3vMC94rtQvH8bck5tVKHqKoYqybfo37FwMoboem6,62,0.0,0.0,3.0,15.0,20.0,3.0,8.0,0.5,0.7419354838709677,[]
20,HZs7uMB3CXUAcSo2u9uVRJcN9F1adLitSjwcGxAchNFu,81.80%,"$94,319.20","$177,449.21",61.54%,?,['photon'],508.3,https://gmgn.ai/sol/address/HZs7uMB3CXUAcSo2u9uVRJcN9F1adLitSjwcGxAchNFu,25,0.0,0.0,26.0,12.0,7.0,1.0,4.0,0.48,0.96,[]
21,8yb9RH2KjSV8v7qYAeidGQ66GD5yWjjmh26UDpBxE9oR,218.08%,"$43,604.68","$82,143.12",55.56%,?,[],9.75,https://gmgn.ai/sol/address/8yb9RH2KjSV8v7qYAeidGQ66GD5yWjjmh26UDpBxE9oR,11,19.0,20.0,15.0,15.0,2.0,0.0,3.0,0.45454545454545453,1.8181818181818181,[]
22,8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ,9.06%,$411.22,"$438,575.21",31.25%,?,[],127.24,https://gmgn.ai/sol/address/8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ,51,0.0,0.0,7.0,20.0,12.0,3.0,8.0,0.45098039215686275,0.8431372549019608,[]
23,71CvcuAphXjiDDdGYJe3iiBajgtm62H9F8bo1kNoLWPP,27.60%,"$1,617.96","$11,611.19",47.83%,?,"['gmgn', 'pepeboost']",125.61,https://gmgn.ai/sol/address/71CvcuAphXjiDDdGYJe3iiBajgtm62H9F8bo1kNoLWPP,29,0.0,0.0,11.0,26.0,11.0,0.0,2.0,0.4482758620689655,1.3448275862068966,[]
24,BvpqgSpMAB1KmasdsTij52KZdSCPy87QMXypDy2b4n2R,85.72%,"$129,571.48","$507,043.83",57.14%,?,[],4.58,https://gmgn.ai/sol/address/BvpqgSpMAB1KmasdsTij52KZdSCPy87QMXypDy2b4n2R,31,7.0,11.0,14.0,5.0,3.0,0.0,10.0,0.41935483870967744,0.5806451612903226,[]
25,27CvyoGen38pd8yWV5LzfBssXDkfMxxyFjc1XkerDhfQ,82.37%,"$6,769.58","$40,900.22",71.43%,?,['photon'],25.56,https://gmgn.ai/sol/address/27CvyoGen38pd8yWV5LzfBssXDkfMxxyFjc1XkerDhfQ,31,0.0,0.0,19.0,17.0,10.0,0.0,3.0,0.41935483870967744,0.967741935483871,[]
26,7cggFeKHrFW5KKhgMTQ1KHoVmAQVkznwhSyx49ukQcVq,43.66%,"$5,120.42","$4,034.52",75.00%,?,['gmgn'],13.63,https://gmgn.ai/sol/address/7cggFeKHrFW5KKhgMTQ1KHoVmAQVkznwhSyx49ukQcVq,65,0.0,0.0,2.0,21.0,12.0,2.0,13.0,0.4153846153846154,0.7384615384615385,[]
27,AXksxoZEWxWAjoQiqnRrMuJv165qnGJMceTztiyYaUh1,13.32%,"$3,201.41","$12,542.05",61.54%,?,['trojan'],24.48,https://gmgn.ai/sol/address/AXksxoZEWxWAjoQiqnRrMuJv165qnGJMceTztiyYaUh1,20,1.0,31.0,55.0,9.0,7.0,0.0,1.0,0.4,0.85,[]
28,9V4eTfMzrBVj2dC84H5KZ7UJWbmrybs67EX88wq8Umtn,88.21%,"$10,597.12","$33,407.79",40.00%,?,[],20.0,https://gmgn.ai/sol/address/9V4eTfMzrBVj2dC84H5KZ7UJWbmrybs67EX88wq8Umtn,39,19.0,108.0,56.0,16.0,6.0,0.0,9.0,0.38461538461538464,0.7948717948717948,[]
29,2fgUSSpZFi8PjyhbrETSeLutJpFsuCfWsk2H6gb3Reye,257.10%,"$102,835.40","$343,613.72",100.00%,?,[],396.36,https://gmgn.ai/sol/address/2fgUSSpZFi8PjyhbrETSeLutJpFsuCfWsk2H6gb3Reye,35,12.0,7.0,11.0,7.0,2.0,2.0,9.0,0.37142857142857144,0.5714285714285714,[]
30,2huXTbjeBhtMZ1ugNwUGucYBRasRaaiypymUX6P1Kwjx,29.75%,"$13,127.36","$192,737.20",40.00%,?,['photon'],594.85,https://gmgn.ai/sol/address/2huXTbjeBhtMZ1ugNwUGucYBRasRaaiypymUX6P1Kwjx,27,0.0,0.0,17.0,23.0,4.0,3.0,3.0,0.37037037037037035,1.2222222222222223,[]
31,687kTFNvKG9GXf8UsPzyrKbKpz5ExNrSCWfs7S4PTGiL,64.30%,"$154,606.50","$846,625.86",57.89%,?,['bullx'],472.46,https://gmgn.ai/sol/address/687kTFNvKG9GXf8UsPzyrKbKpz5ExNrSCWfs7S4PTGiL,52,0.0,0.0,9.0,22.0,10.0,2.0,7.0,0.36538461538461536,0.7884615384615384,[]
32,8HWKSxun9CWhhmig7VnFS855jEqd7L3ZELEofVWHPiK1,56.85%,"$18,658.09","$195,631.30",84.34%,?,['photon'],324.8,https://gmgn.ai/sol/address/8HWKSxun9CWhhmig7VnFS855jEqd7L3ZELEofVWHPiK1,94,0.0,0.0,0.0,16.0,23.0,3.0,8.0,0.3617021276595745,0.5319148936170213,[]
33,GTv28oLG4L3JugC26zdVsr4VtK8ibVKdNq2wNqeA8SDL,82.22%,"$35,591.04","$41,930.95",41.67%,?,"['photon', 'trojan']",58.6,https://gmgn.ai/sol/address/GTv28oLG4L3JugC26zdVsr4VtK8ibVKdNq2wNqeA8SDL,64,0.0,0.0,13.0,14.0,8.0,3.0,12.0,0.359375,0.578125,[]
34,2usZ8uxoxPFYpkMMubkq48ftXSFHNZEbtWC3kyR3bfEv,16.87%,"$3,007.46","$9,182.17",44.44%,?,[],11.83,https://gmgn.ai/sol/address/2usZ8uxoxPFYpkMMubkq48ftXSFHNZEbtWC3kyR3bfEv,14,0.0,23.0,14.0,8.0,5.0,0.0,0.0,0.35714285714285715,0.9285714285714286,[]
35,9EFYQLiCjtQ1ZXr7kfx1gucRqP51CRRBN3dBD5PggGJ3,47.48%,"$15,439.80","$54,068.84",64.15%,?,[],51.27,https://gmgn.ai/sol/address/9EFYQLiCjtQ1ZXr7kfx1gucRqP51CRRBN3dBD5PggGJ3,89,0.0,0.0,1.0,18.0,22.0,2.0,7.0,0.34831460674157305,0.550561797752809,[]
36,7obZLr3X2JRCKj5bs9JosMweY3bS1VT7ghE5vzZMyjAX,68.03%,"$12,647.39","$22,098.54",40.62%,?,[],2.3,https://gmgn.ai/sol/address/7obZLr3X2JRCKj5bs9JosMweY3bS1VT7ghE5vzZMyjAX,32,0.0,1.0,26.0,9.0,6.0,1.0,4.0,0.34375,0.625,[]
37,5fWkLJfoDsRAaXhPJcJY19qNtDDQ5h6q1SPzsAPRrUNG,10.64%,"$26,377.68","$61,112.36",45.24%,?,['photon'],145.2,https://gmgn.ai/sol/address/5fWkLJfoDsRAaXhPJcJY19qNtDDQ5h6q1SPzsAPRrUNG,70,0.0,0.0,7.0,19.0,20.0,1.0,3.0,0.34285714285714286,0.6142857142857143,[]
38,2QLWGa5Dhos5zNwXL17JRYPT9S13riFpqWJPgUQhuVai,75.27%,"$37,404.73","$148,515.30",66.67%,?,[],462.06,https://gmgn.ai/sol/address/2QLWGa5Dhos5zNwXL17JRYPT9S13riFpqWJPgUQhuVai,50,0.0,0.0,8.0,25.0,11.0,0.0,6.0,0.34,0.84,[]
39,B3V78wFLo8X62z7aUqXmmX2eitg4GFpduyEeyVLMv1n8,28.59%,"$74,501.73","$419,553.34",45.00%,?,['photon'],312.64,https://gmgn.ai/sol/address/B3V78wFLo8X62z7aUqXmmX2eitg4GFpduyEeyVLMv1n8,99,0.0,0.0,1.0,16.0,15.0,2.0,16.0,0.3333333333333333,0.494949494949495,[]
40,HfDEtudyCwJTFaBQbJXqonFk6XfBUN8q9B9b7ddT9w6N,14.04%,"$10,543.12","$12,840.93",55.56%,?,['photon'],46.47,https://gmgn.ai/sol/address/HfDEtudyCwJTFaBQbJXqonFk6XfBUN8q9B9b7ddT9w6N,75,0.0,0.0,1.0,24.0,17.0,0.0,8.0,0.3333333333333333,0.6533333333333333,[]
41,28ipXVfkdmu1PDowCHbcSfzkpH9edZmSiVoDhY5xGVfR,16.66%,"$32,289.13","$490,878.79",69.44%,?,['photon'],3207.84,https://gmgn.ai/sol/address/28ipXVfkdmu1PDowCHbcSfzkpH9edZmSiVoDhY5xGVfR,64,0.0,0.0,7.0,22.0,15.0,0.0,6.0,0.328125,0.671875,[]
42,H9AcEk9znmS8ZHejkZyR8CZre3ca74PdAF34yNYPVFuy,30.29%,"$49,695.42","$106,969.11",96.15%,?,[],22.83,https://gmgn.ai/sol/address/H9AcEk9znmS8ZHejkZyR8CZre3ca74PdAF34yNYPVFuy,183,55.0,79.0,75.0,31.0,31.0,7.0,22.0,0.32786885245901637,0.4972677595628415,[]
43,9FdsQEqxzu7DqR6d6tnf64am8W4gi7ucCURcaqmeExt2,249.16%,"$16,653.18","$16,653.18",60.00%,?,[],5.08,https://gmgn.ai/sol/address/9FdsQEqxzu7DqR6d6tnf64am8W4gi7ucCURcaqmeExt2,31,4.0,8.0,4.0,2.0,9.0,0.0,1.0,0.3225806451612903,0.3870967741935484,[]
44,pndujwi7BeaRRenYHSShyNQXAdBNEzKDR5jgzbheJFT,42.25%,"$51,860.18","$417,309.26",38.93%,?,['photon'],865.87,https://gmgn.ai/sol/address/pndujwi7BeaRRenYHSShyNQXAdBNEzKDR5jgzbheJFT,149,0.0,0.0,0.0,2.0,31.0,1.0,16.0,0.3221476510067114,0.33557046979865773,[]
45,C8WtJP4YveQbza5k1otS7BNFQ6My4pjVwecApCEQCNQi,91.59%,"$93,395.46","$197,255.93",81.82%,?,['bullx'],211.33,https://gmgn.ai/sol/address/C8WtJP4YveQbza5k1otS7BNFQ6My4pjVwecApCEQCNQi,48,0.0,0.0,4.0,31.0,10.0,2.0,3.0,0.3125,0.9583333333333334,[]
46,6LbyrLDxKnN3PZCKQWD8EhTZHnk6B9mkWspkS7k8dGzi,80.46%,"$94,658.02","$223,887.61",65.88%,?,['photon'],16.63,https://gmgn.ai/sol/address/6LbyrLDxKnN3PZCKQWD8EhTZHnk6B9mkWspkS7k8dGzi,82,0.0,0.0,2.0,23.0,13.0,0.0,12.0,0.3048780487804878,0.5853658536585366,[]
47,81BKxZxMZsPngysa1GeFtQKyp9RfnZbPoEsP5Tr9nRDH,76.46%,"$97,210.76","$241,700.62",94.44%,?,[],0.55,https://gmgn.ai/sol/address/81BKxZxMZsPngysa1GeFtQKyp9RfnZbPoEsP5Tr9nRDH,20,0.0,9.0,19.0,16.0,5.0,0.0,1.0,0.3,1.1,[]
48,C6vr9Hxf9aFr55u8dV3LJpsjVxZYc7Lew5oSrrcqPYgu,107.98%,"$107,915.85","$130,621.49",39.34%,?,[],565.63,https://gmgn.ai/sol/address/C6vr9Hxf9aFr55u8dV3LJpsjVxZYc7Lew5oSrrcqPYgu,84,0.0,0.0,3.0,22.0,16.0,4.0,5.0,0.2976190476190476,0.5595238095238095,[]
49,2RssnB7hcrnBEx55hXMKT1E7gN27g9ecQFbbCc5Zjajq,92.23%,"$15,117.63","$234,066.09",77.27%,?,['photon'],668.49,https://gmgn.ai/sol/address/2RssnB7hcrnBEx55hXMKT1E7gN27g9ecQFbbCc5Zjajq,54,0.0,0.0,2.0,32.0,9.0,4.0,3.0,0.2962962962962963,0.8888888888888888,[]
50,GqetXSWyK18fJxeiD8yLxGwTN5UKn8DztzbGyofdruPj,19.63%,"$42,721.26","$41,115.13",34.78%,?,[],94.58,https://gmgn.ai/sol/address/GqetXSWyK18fJxeiD8yLxGwTN5UKn8DztzbGyofdruPj,25,0.0,16.0,15.0,11.0,2.0,1.0,4.0,0.28,0.72,[]
51,HXkP2HJ3436u1urLnLsupqjtX1647bA2TtcHNWiDt49U,44.77%,"$70,918.13","$226,332.28",68.42%,?,"['smart_degen', 'photon']",106.07,https://gmgn.ai/sol/address/HXkP2HJ3436u1urLnLsupqjtX1647bA2TtcHNWiDt49U,58,0.0,0.0,15.0,19.0,7.0,2.0,7.0,0.27586206896551724,0.603448275862069,[]
52,Hnnw2hAgPgGiFKouRWvM3fSk3HnYgRv4Xq1PjUEBEuWM,32.03%,"$13,112.50","$318,736.83",46.76%,?,"['pump_smart', 'smart_degen', 'photon']",442.04,https://gmgn.ai/sol/address/Hnnw2hAgPgGiFKouRWvM3fSk3HnYgRv4Xq1PjUEBEuWM,146,0.0,0.0,0.0,10.0,17.0,8.0,15.0,0.273972602739726,0.3424657534246575,[]
53,3HEMgHeUSJLG9BBhc5j3VgYegvhFxm7AB7GDNqD5hYit,60.85%,"$35,284.08","$111,954.51",70.59%,?,['photon'],368.4,https://gmgn.ai/sol/address/3HEMgHeUSJLG9BBhc5j3VgYegvhFxm7AB7GDNqD5hYit,70,0.0,0.0,9.0,22.0,12.0,1.0,6.0,0.2714285714285714,0.5857142857142857,[]
54,6pzinHEjGxMVbiRi9LFMfVUmMWd3zioMNT8B6aviHasQ,118.14%,"$19,196.73","$35,774.77",57.14%,?,['photon'],163.64,https://gmgn.ai/sol/address/6pzinHEjGxMVbiRi9LFMfVUmMWd3zioMNT8B6aviHasQ,37,25.0,17.0,9.0,14.0,5.0,1.0,4.0,0.2702702702702703,0.6486486486486487,[]
55,emmemiip3UroEr81wLeNm8vveLARzR2zV5t3T4YTU13,118.17%,"$27,361.92","$165,560.78",75.00%,?,[],112.86,https://gmgn.ai/sol/address/emmemiip3UroEr81wLeNm8vveLARzR2zV5t3T4YTU13,26,4.0,3.0,8.0,12.0,4.0,0.0,3.0,0.2692307692307692,0.7307692307692307,[]
56,CCUcjek5p6DLoH2YNtjizxYhAnStXAQAGVxhp1cYJF7w,63.92%,"$23,171.20","$88,228.66",95.50%,?,['bullx'],6.49,https://gmgn.ai/sol/address/CCUcjek5p6DLoH2YNtjizxYhAnStXAQAGVxhp1cYJF7w,143,0.0,0.0,0.0,11.0,26.0,2.0,10.0,0.26573426573426573,0.34265734265734266,[]
57,HKo6GHk8YV9HZMfurrRs3NFY8NwETMmYAFzm1xfRX6dn,20.53%,"$132,339.79","$143,091.30",91.67%,?,['bullx'],323.95,https://gmgn.ai/sol/address/HKo6GHk8YV9HZMfurrRs3NFY8NwETMmYAFzm1xfRX6dn,23,0.0,0.0,40.0,4.0,2.0,1.0,3.0,0.2608695652173913,0.43478260869565216,[]
58,CnjMc5DeNmhPSYZ2xFpNqtKGuU8ETTKHqUQwicapboDj,15.21%,"$6,167.85","$19,521.81",50.00%,?,['photon'],150.7,https://gmgn.ai/sol/address/CnjMc5DeNmhPSYZ2xFpNqtKGuU8ETTKHqUQwicapboDj,31,0.0,0.0,21.0,21.0,5.0,0.0,3.0,0.25806451612903225,0.9354838709677419,[]
59,6Q8zyNLfGuXQ1PUz3ygAm3QJEFTWbfNtoeeN4dXEHRcp,54.95%,"$77,615.00","$320,926.28",64.71%,?,['gmgn'],695.76,https://gmgn.ai/sol/address/6Q8zyNLfGuXQ1PUz3ygAm3QJEFTWbfNtoeeN4dXEHRcp,39,46.0,31.0,33.0,9.0,6.0,1.0,3.0,0.2564102564102564,0.48717948717948717,[]
60,BSCVQhdUyZgVWdeigZfQZ4oi7tbStnr8KgTg7CjGSFWL,21.47%,"$11,655.29","$33,406.38",45.45%,?,['bullx'],11.94,https://gmgn.ai/sol/address/BSCVQhdUyZgVWdeigZfQZ4oi7tbStnr8KgTg7CjGSFWL,40,0.0,0.0,18.0,22.0,7.0,1.0,2.0,0.25,0.8,[]
61,2qhbkT12SXYmfw9yzHqr5GF7Tuup7xk7LBtkMWAbE3St,47.95%,"$15,437.71","$32,749.24",56.67%,?,[],4.8,https://gmgn.ai/sol/address/2qhbkT12SXYmfw9yzHqr5GF7Tuup7xk7LBtkMWAbE3St,65,53.0,41.0,58.0,44.0,9.0,3.0,4.0,0.24615384615384617,0.9230769230769231,[]
62,822cLJLn41DZvZ5eFaCv34ZQoDXuhFf9m6VEwgE39p4y,21.91%,"$11,835.32","$83,564.28",52.78%,?,['photon'],470.49,https://gmgn.ai/sol/address/822cLJLn41DZvZ5eFaCv34ZQoDXuhFf9m6VEwgE39p4y,57,0.0,0.0,8.0,28.0,12.0,0.0,2.0,0.24561403508771928,0.7368421052631579,[]
63,3b7HqD1YAFgXeqqYmSaMU6tMr2DLMWZXZb5NgajCjpre,20.39%,"$19,893.23","$74,215.25",68.00%,?,['bullx'],0.02,https://gmgn.ai/sol/address/3b7HqD1YAFgXeqqYmSaMU6tMr2DLMWZXZb5NgajCjpre,62,0.0,0.0,8.0,27.0,10.0,1.0,4.0,0.24193548387096775,0.6774193548387096,[]
64,H4g9p6t4CEAwGhv1jnQfytnT8MfsSz4NkjtjrEYCH9is,87.83%,"$11,092.57","$74,216.06",65.26%,?,[],127.32,https://gmgn.ai/sol/address/H4g9p6t4CEAwGhv1jnQfytnT8MfsSz4NkjtjrEYCH9is,120,0.0,0.0,2.0,19.0,20.0,2.0,7.0,0.24166666666666667,0.4,[]
65,8ViRyoQ3z7c6uro53PkorC95PeHfAdeAAsHUV22TPmiH,49.94%,"$56,003.02","$318,702.25",52.86%,?,[],100.27,https://gmgn.ai/sol/address/8ViRyoQ3z7c6uro53PkorC95PeHfAdeAAsHUV22TPmiH,101,0.0,0.0,8.0,18.0,14.0,2.0,8.0,0.2376237623762376,0.4158415841584158,[]
66,7HBbDTHNc8cwVEsRGjwZxkCXu2UXE7EBynd31n4Nh6iz,11.40%,"$3,322.70","$35,148.98",61.11%,?,['photon'],0.06,https://gmgn.ai/sol/address/7HBbDTHNc8cwVEsRGjwZxkCXu2UXE7EBynd31n4Nh6iz,34,21.0,3.0,7.0,5.0,4.0,1.0,3.0,0.23529411764705882,0.38235294117647056,[]
67,EompsPck4QrzDbwHoB2oMn72cePvr5JiVwKsYDbh2vnE,1005.84%,$761.39,"$1,967.29",64.06%,?,"['photon', 'trojan']",0.51,https://gmgn.ai/sol/address/EompsPck4QrzDbwHoB2oMn72cePvr5JiVwKsYDbh2vnE,172,9.0,45.0,82.0,51.0,29.0,3.0,8.0,0.23255813953488372,0.5290697674418605,[]
68,7DRSVjQ7UQuPpC1gEZCLWdYUbsPFZQSd6LKukndGHAB9,25.65%,"$4,217.98","$57,691.40",59.09%,?,['gmgn'],327.14,https://gmgn.ai/sol/address/7DRSVjQ7UQuPpC1gEZCLWdYUbsPFZQSd6LKukndGHAB9,56,0.0,0.0,20.0,17.0,8.0,0.0,5.0,0.23214285714285715,0.5357142857142857,[]
69,AQ5z43F3snCzTRq3z31Cb58g3a9jZNZX7UB4kSMsWNeS,12.59%,"$3,981.41","$37,187.88",48.67%,?,[],4.14,https://gmgn.ai/sol/address/AQ5z43F3snCzTRq3z31Cb58g3a9jZNZX7UB4kSMsWNeS,159,0.0,0.0,0.0,14.0,27.0,1.0,8.0,0.22641509433962265,0.31446540880503143,[]
70,Gw5WHSB5FbXdXGVZK5RCdm4bzc2M64rX1GcftibKM4RX,54.07%,"$114,313.41","$445,488.38",83.33%,?,['bullx'],387.27,https://gmgn.ai/sol/address/Gw5WHSB5FbXdXGVZK5RCdm4bzc2M64rX1GcftibKM4RX,31,7.0,17.0,9.0,10.0,4.0,0.0,3.0,0.22580645161290322,0.5483870967741935,[]
71,4bKTFx7TKDfFFk5H4M9S1aTuV2aLuDBofHVvMEGcegKG,16.79%,"$6,637.31","$193,663.22",41.04%,?,['photon'],2.93,https://gmgn.ai/sol/address/4bKTFx7TKDfFFk5H4M9S1aTuV2aLuDBofHVvMEGcegKG,169,0.0,0.0,0.0,12.0,22.0,3.0,13.0,0.22485207100591717,0.2958579881656805,[]
72,DySwsasoYguhdD8uhnpN3erjH6GsZi7Q2soXtFtUjZx1,19.21%,"$14,202.12","$13,977.41",56.00%,?,['bluechip_owner'],10.1,https://gmgn.ai/sol/address/DySwsasoYguhdD8uhnpN3erjH6GsZi7Q2soXtFtUjZx1,63,48.0,40.0,28.0,15.0,7.0,1.0,6.0,0.2222222222222222,0.4603174603174603,[]
73,BSZ5Qn9DEZZhXvTGvaQhobgXCCZPJDSkgB9dZnAhgAPd,30.32%,"$7,930.18","$678,686.36",52.00%,?,[],403.13,https://gmgn.ai/sol/address/BSZ5Qn9DEZZhXvTGvaQhobgXCCZPJDSkgB9dZnAhgAPd,50,0.0,0.0,16.0,23.0,7.0,0.0,4.0,0.22,0.68,[]
