rank,Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +,ratio_200_plus,ratio_50_plus,failed_criteria
1277,4K2bTbAiPf1QESuYn6acNDsqZcAvpZvFm9obWvbYYZ2R,27.92%,"$39,599.45","$39,599.45",36.57%,?,"['bullx', 'trojan']",90.91,https://gmgn.ai/sol/address/4K2bTbAiPf1QESuYn6acNDsqZcAvpZvFm9obWvbYYZ2R,651,0.0,0.0,30.0,14.0,4.0,0.0,2.0,0.009216589861751152,0.030721966205837174,[]
1278,ydEJagmUbCYtNAwxcmsYUfLTkKHsEkzX1Tg5Q3GnfCs,23.37%,"$17,419.02","$17,419.02",63.77%,?,['bullx'],10.24,https://gmgn.ai/sol/address/ydEJagmUbCYtNAwxcmsYUfLTkKHsEkzX1Tg5Q3GnfCs,868,8.0,96.0,114.0,34.0,8.0,0.0,0.0,0.009216589861751152,0.04838709677419355,[]
1279,4cR2zD2eNKPPvyPQaGpCFdkQicS73Hjg2UyqLhd9mdyU,15.32%,"$18,529.65","$18,529.65",39.19%,?,['trojan'],50.41,https://gmgn.ai/sol/address/4cR2zD2eNKPPvyPQaGpCFdkQicS73Hjg2UyqLhd9mdyU,869,60.0,119.0,80.0,33.0,7.0,0.0,1.0,0.009205983889528193,0.047180667433831994,[]
1280,GjZB438kzeq4h6nwsRV6GkkyeEWAMPc4KsuXpdzouuc,5.94%,"$5,660.74","$5,660.74",47.98%,?,['trojan'],2.27,https://gmgn.ai/sol/address/GjZB438kzeq4h6nwsRV6GkkyeEWAMPc4KsuXpdzouuc,548,28.0,75.0,63.0,31.0,5.0,0.0,0.0,0.009124087591240875,0.06569343065693431,[]
1281,Bc1PGtLcUyjvHyDrkSzoegV4e6WSf6YGQJgutJ6RqBA1,20.56%,"$66,061.11","$84,806.07",38.10%,?,[],230.91,https://gmgn.ai/sol/address/Bc1PGtLcUyjvHyDrkSzoegV4e6WSf6YGQJgutJ6RqBA1,548,21.0,95.0,46.0,22.0,4.0,1.0,0.0,0.009124087591240875,0.04927007299270073,[]
1282,Av2XYW6FXYNYBAW336Mn6TcAtb4hFajoMLQrxHRK7veH,8.09%,"$28,513.99","$45,101.02",35.36%,?,['trojan'],5.54,https://gmgn.ai/sol/address/Av2XYW6FXYNYBAW336Mn6TcAtb4hFajoMLQrxHRK7veH,1537,44.0,141.0,72.0,29.0,10.0,3.0,1.0,0.009108653220559532,0.02797657774886142,[]
1283,75NpQoQchUygv3PvoiTqYRSJHVUwWnCqgpkfZHxkv5L1,2.70%,"$11,372.91","$11,372.91",35.68%,?,['photon'],34.55,https://gmgn.ai/sol/address/75NpQoQchUygv3PvoiTqYRSJHVUwWnCqgpkfZHxkv5L1,549,15.0,181.0,84.0,15.0,4.0,0.0,1.0,0.009107468123861567,0.03642987249544627,[]
1284,3q5LFWFkcH7TWNxBLb4iTwcYrwqKVTZZ4ibDT7Zo2x4f,15.20%,"$9,288.10","$296,794.91",35.96%,?,['photon'],108.38,https://gmgn.ai/sol/address/3q5LFWFkcH7TWNxBLb4iTwcYrwqKVTZZ4ibDT7Zo2x4f,549,28.0,164.0,74.0,29.0,3.0,0.0,2.0,0.009107468123861567,0.061930783242258654,[]
1285,8pGzPDgLwyHHj6GXGqLVub4L4wKa8sBUqTRsk2uYWg4y,18.41%,"$4,685.22","$64,287.46",33.44%,?,[],1.92,https://gmgn.ai/sol/address/8pGzPDgLwyHHj6GXGqLVub4L4wKa8sBUqTRsk2uYWg4y,2757,87.0,90.0,63.0,35.0,15.0,2.0,8.0,0.009067827348567283,0.02176278563656148,[]
1286,7tCdR3zTiEo7Y5wqRYWer9Gr8ha5XDWtmtTGXMLYxiX4,13.17%,"$108,340.16","$149,704.35",52.07%,?,['photon'],100.97,https://gmgn.ai/sol/address/7tCdR3zTiEo7Y5wqRYWer9Gr8ha5XDWtmtTGXMLYxiX4,1103,15.0,133.0,118.0,24.0,7.0,1.0,2.0,0.009066183136899365,0.030825022665457842,[]
